Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,area,harvestc,prod_turnoverc,NBP,transp,evap,interc,wd,prec,SoilC,SoilC_slow,LitC,VegC,ProductC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,harvestN,prod_turnovern,SoilN,SoilN_slow,LitN,VegN,ProductN,estab_storageC,estab_storageN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(m2),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gC),(1e+15 gN)
1519,0.000478756,0.00570576,0.00338742,0.00290867,1.738e-05,0,5.79211e-05,9.00754e+08,0.000156855,1.80503e-11,0.000283993,0.00264855,0.000472941,0.00015983,7.75789e-07,0.00413564,0.0728412,0.0263092,0.0022199,0.00332478,1.00569e-09,5.50046e-05,1.44468e-05,1.20587e-05,1.03642e-05,6.08149e-07,0,6.50091e-07,5.03537e-06,3.6927e-14,0.0043568,0.00163366,4.16075e-05,0.000118468,2.05742e-12,0.00141109,0.000141109
1520,-0.000422979,0.00450263,0.00249858,0.00292156,1.74134e-05,-2.19782e-08,3.06502e-05,8.97599e+08,0.000143032,1.70885e-11,-0.000576603,0.00216995,0.000392259,0.000120539,1.04624e-06,0.00319968,0.0722864,0.0263051,0.00214784,0.00337503,9.886e-10,5.06947e-05,8.23191e-06,8.66111e-06,8.1029e-06,6.09136e-07,-4.9744e-11,3.01718e-07,4.59176e-06,3.49594e-14,0.00433386,0.00163343,3.69857e-05,0.00013798,2.02246e-12,0.00141109,0.000141109
1521,0.000518726,0.00615994,0.00348759,0.00296886,1.72651e-05,0,1.57019e-05,8.94435e+08,0.000139402,1.62145e-11,0.000383501,0.00304743,0.000590507,0.000232468,1.00953e-06,0.00564002,0.0727446,0.0263017,0.00239041,0.00305771,9.72385e-10,5.41169e-05,1.6602e-05,8.83482e-06,1.03904e-05,6.04108e-07,0,1.94665e-07,4.3905e-06,3.31713e-14,0.00434799,0.00163321,4.84657e-05,0.000113317,1.98929e-12,0.00141109,0.000141109
1522,0.000234355,0.00567727,0.00326182,0.00302746,1.72732e-05,-2.86536e-09,3.68512e-05,8.91279e+08,0.000173391,1.54195e-11,4.3993e-05,0.00258126,0.000458852,0.000188576,1.0224e-06,0.0043985,0.0727335,0.0262991,0.00246724,0.00303599,9.56966e-10,5.38593e-05,1.37933e-05,8.86597e-06,1.02281e-05,6.04236e-07,-5.92637e-12,4.4121e-07,5.30744e-06,3.15449e-14,0.00434796,0.00163306,5.05041e-05,0.000105859,1.95774e-12,0.00141109,0.000141109
1523,0.000369367,0.00575633,0.00346544,0.00309607,1.72061e-05,-3.8856e-09,6.59182e-05,8.88124e+08,0.00015028,1.46957e-11,0.000172973,0.00277448,0.000486078,0.000155851,1.05068e-06,0.00413564,0.072788,0.0262975,0.00242558,0.00319619,9.4227e-10,5.5252e-05,1.5129e-05,1.08744e-05,1.06537e-05,6.01941e-07,-8.50946e-12,7.49284e-07,4.65911e-06,3.00642e-14,0.00434873,0.00163297,4.79329e-05,0.000104368,1.92768e-12,0.00141109,0.000141109
1524,0.000313297,0.00572925,0.00341561,0.00310232,1.71131e-05,0,6.24412e-05,8.84969e+08,0.000152603,1.40362e-11,0.00011795,0.00279914,0.000492181,0.000153807,1.08384e-06,0.00413564,0.0729554,0.0262959,0.00241475,0.00315753,9.28234e-10,5.49491e-05,1.495e-05,9.03448e-06,1.07781e-05,5.98802e-07,0,6.96042e-07,4.58775e-06,2.87149e-14,0.00435058,0.00163288,4.66811e-05,0.000101142,1.89896e-12,0.00141109,0.000141109
1525,0.000224201,0.00577683,0.0034258,0.0032016,1.70424e-05,0,4.75123e-05,8.81805e+08,0.000165111,1.34345e-11,3.11945e-05,0.00284468,0.000530091,0.000223552,8.24397e-07,0.00471671,0.0730851,0.0262956,0.00226982,0.00320395,9.14799e-10,5.32592e-05,1.71067e-05,7.72293e-06,1.1433e-05,5.96394e-07,0,5.16782e-07,5.0678e-06,2.7484e-14,0.00435372,0.00163285,4.28581e-05,9.93386e-05,1.87148e-12,0.00141109,0.000141109
1526,-0.000115879,0.00500832,0.00298663,0.00310251,1.70591e-05,0,9.64457e-05,8.78649e+08,0.000144758,1.28849e-11,-0.000337459,0.00236673,0.000422315,0.00014378,1.06472e-06,0.00324772,0.0728671,0.026294,0.00211644,0.00323784,9.01915e-10,5.07746e-05,1.04257e-05,8.26722e-06,9.62061e-06,5.96661e-07,0,1.03027e-06,4.3777e-06,2.63597e-14,0.00434533,0.00163276,3.8153e-05,0.000106148,1.84512e-12,0.00141109,0.000141109
1527,0.00015074,0.00526226,0.00318681,0.00303607,1.71694e-05,0,0.000319202,8.75494e+08,0.000163015,1.23824e-11,-0.000311752,0.00242114,0.000359792,0.00034122,1.1113e-06,0.00753933,0.0727374,0.0262916,0.00187983,0.00329242,8.89532e-10,5.20744e-05,1.38648e-05,1.30953e-05,1.02068e-05,6.00395e-07,0,3.29757e-06,4.99585e-06,2.53316e-14,0.00433896,0.00163262,3.33948e-05,0.0001093,1.81979e-12,0.00141109,0.000141109
1528,0.000160036,0.00520792,0.00311146,0.00295142,1.66311e-05,0,0.000100484,8.72338e+08,0.000153659,1.19222e-11,-7.49316e-05,0.00265041,0.000427496,0.000162279,8.99485e-07,0.00413148,0.0725,0.0262881,0.00191353,0.00342121,8.7761e-10,4.85524e-05,1.44293e-05,1.29525e-05,1.06031e-05,5.82299e-07,0,1.02378e-06,4.74749e-06,2.43902e-14,0.00432659,0.0016324,3.28636e-05,0.000114813,1.7954e-12,0.00141109,0.000141109
