Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,NBP,transp,evap,interc,prec,SoilC,SoilC_slow,LitC,VegC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,SoilN,SoilN_slow,LitN,VegN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN)
1529,-0.000683124,0.00465098,0.00253309,0.00321622,6.15516e-07,-1.5314e-08,2.158e-05,-0.000704074,0.00235487,0.000209344,0.000186174,0.0029119,0.0756921,0.0263733,0.00222639,0.00390288,4.14698e-05,7.0828e-06,7.37333e-06,7.01952e-06,2.0476e-08,-3.50221e-11,1.82226e-07,0.00450452,0.00163754,3.30368e-05,0.000165148
1530,0.000389395,0.00611705,0.00355545,0.00316605,-5.85256e-07,-1.46631e-09,6.76826e-05,0.000321128,0.00277182,0.00025302,0.000197948,0.00390322,0.075605,0.0263714,0.00238128,0.00415625,5.43464e-05,1.55646e-05,1.26283e-05,8.59138e-06,-1.95469e-08,-3.09218e-12,6.58746e-07,0.00450304,0.00163743,3.98937e-05,0.000164745
1531,0.00037466,0.00628925,0.00367617,0.00330151,1.22965e-08,0,2.37717e-05,0.0003509,0.00342148,0.000237773,0.000503402,0.00933876,0.0758553,0.0263714,0.00255223,0.00408583,5.10367e-05,1.94114e-05,8.40161e-06,1.09096e-05,3.89558e-10,0,2.51162e-07,0.00451187,0.00163742,4.57537e-05,0.000154135
1532,0.000172417,0.00609675,0.00355825,0.00338584,2.22771e-07,0,0.00033215,-0.00015951,0.0030355,0.000146046,0.000435844,0.00753933,0.0759,0.0263726,0.00226124,0.00417262,5.16236e-05,1.94463e-05,7.57466e-06,9.30971e-06,7.39514e-09,0,3.28945e-06,0.00451392,0.00163747,3.93764e-05,0.00015425
1533,0.000297193,0.00618585,0.00362334,0.00332615,-1.65079e-07,0,4.80709e-05,0.000248957,0.00317627,0.00021268,0.000302208,0.00487015,0.0760521,0.0263728,0.0023855,0.00414524,5.28142e-05,1.70787e-05,8.61328e-06,9.4658e-06,-5.54097e-09,0,4.88991e-07,0.00451686,0.00163747,4.1831e-05,0.000151248
1534,0.00025854,0.00619047,0.00363738,0.00337884,2.72588e-08,0,2.6205e-05,0.000232363,0.00345932,0.000229152,0.000508128,0.00933876,0.0761729,0.0263738,0.0025118,0.00413056,5.17082e-05,2.00072e-05,7.85886e-06,1.10996e-05,9.00661e-10,0,2.69381e-07,0.00452059,0.00163752,4.37861e-05,0.000149329
1535,-0.000131553,0.00570092,0.00325155,0.0033831,1.99588e-07,-1.42193e-08,0.000254545,-0.000385884,0.00272222,0.000170454,0.00018943,0.00292737,0.0759567,0.0263748,0.0022661,0.00420656,4.91787e-05,1.48126e-05,5.57782e-06,8.60463e-06,6.61224e-09,-3.20854e-11,2.35924e-06,0.00451408,0.00163756,3.72805e-05,0.000156841
1536,0.000477014,0.00634958,0.00376967,0.00329265,-1.41356e-07,0,2.52356e-05,0.000451637,0.00358286,0.000209861,0.00033831,0.00751038,0.0760994,0.0263746,0.00248215,0.00429939,5.31462e-05,2.01962e-05,1.10268e-05,1.09424e-05,-4.74196e-09,0,2.47294e-07,0.00451666,0.00163753,4.21178e-05,0.000155222
1537,5.50896e-06,0.00589773,0.00339355,0.00338804,7.30559e-08,-1.17286e-09,0.000120273,-0.00011469,0.00311368,0.000196662,0.000211723,0.00413148,0.076144,0.0263757,0.00243356,0.0041887,4.83605e-05,1.80602e-05,7.54692e-06,9.40652e-06,2.39524e-09,-2.23829e-12,1.1709e-06,0.00451702,0.00163756,4.03904e-05,0.000154664
1538,3.82661e-05,0.005807,0.003414,0.00337573,7.3073e-08,-9.77758e-10,0.000195083,-0.000156743,0.00294558,0.000221738,0.000462975,0.00687541,0.0759603,0.0263766,0.00223499,0.00441423,4.85321e-05,1.67135e-05,9.27151e-06,9.17611e-06,2.39618e-09,-1.92579e-12,1.72246e-06,0.0045111,0.00163761,3.51093e-05,0.000163916
